frame.number,frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,sctp.srcport,sctp.dstport,s1ap.ENB_UE_S1AP_ID,s1ap.MME_UE_S1AP_ID,s1ap.procedureCode
"198","1758134428.353832000","7.193.167.162","10.164.26.130",,,"53706","36412","37905","3250328106","23"
"199","1758134428.559839000","10.3.7.2","18.8.23.13",,,"36412","36412","4007",,"12"
"200","1758134428.559840000","7.193.167.162","10.165.92.130",,,"52371","36412","51219",,"12"
"201","1758134429.423704000","10.3.7.2","18.8.23.13",,,"36412","36412","4007","51219","9"
"202","1758134429.423704000","7.193.167.162","10.165.92.130",,,"52371","36412","51219","1103721955","9"
"203","1758134429.674158000","10.3.7.9","18.8.23.13",,,"36412","36412","6918",,"12"
"204","1758134429.674159000","7.193.167.162","10.164.26.130",,,"53706","36412","29202",,"12"
"205","1758134429.877158000","10.3.7.9","18.8.23.13",,,"36412","36412","6918","29202","9"
"206","1758134429.877159000","7.193.167.162","10.164.26.130",,,"53706","36412","29202","3250707114","9"
"207","1758134429.976144000","10.3.7.23","18.8.23.13",,,"36412","36412","11098",,"12"
"208","1758134429.976145000",,,"2600:300:20e2:a315::1:db85","2600:300:300c:704::1","47510","36412","1512462",,"12"
"209","1758134429.976146000",,,"2600:300:300c:704::1","2600:300:20e2:a315::1:db85","36412","47510","14348","366039822","23"
"210","1758134429.976147000","18.8.23.13","10.3.7.23",,,"36412","36412","11096","14348","23"
"211","1758134429.993353000","10.3.7.23","18.8.23.13",,,"36412","36412","11096","14348","23"
"212","1758134429.993353000",,,"2600:300:20e2:a315::1:db85","2600:300:300c:704::1","47510","36412","14348","366039822","23"
"213","1758134429.993354000",,,"2600:300:300c:704::1","2600:300:20e2:a315::1:db85","36412","47510","1512462","352472442","23"
"214","1758134430.422512000","18.8.23.13","10.3.7.23",,,"36412","36412","11098","1512462","23"
"215","1758134430.422513000","10.3.7.23","18.8.23.13",,,"36412","36412","11098","1512462","23"
"216","1758134430.422513000",,,"2600:300:20e2:a315::1:db85","2600:300:300c:704::1","47510","36412","1512462","352472442","23"
"217","1758134431.599756000","10.3.7.49","18.8.23.13",,,"36412","36412","3866",,"12"
"218","1758134431.599757000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::6","42968","36412","1523726",,"12"
"219","1758134432.017270000","10.3.7.49","18.8.23.13",,,"36412","36412","3866","1523726","9"
"220","1758134432.017271000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::6","42968","36412","1523726","129974487","9"
"221","1758134432.017273000","10.3.7.65","18.8.23.13",,,"36412","36412","3117",,"12"
"222","1758134432.017274000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::8","59121","36412","68369",,"12"
"223","1758134432.021318000",,,"2600:300:300a:2::8","2600:300:20e2:a315::1:db85","36412","59121","1533200","369365598","23"
"224","1758134432.021318000","18.8.23.13","10.3.7.65",,,"36412","36412","3116","1533200","23"
"225","1758134432.038557000",,,"2600:300:300a:2::8","2600:300:20e2:a315::1:db85","36412","59121","68369","384188894","23"
"226","1758134432.063301000","18.8.23.13","10.3.7.65",,,"36412","36412","3117","68369","23"
"227","1758134432.063319000","10.3.7.65","18.8.23.13",,,"36412","36412","3116","1533200","23"
"228","1758134432.063320000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::8","59121","36412","1533200","369365598","23"
"229","1758134432.063321000","10.3.7.65","18.8.23.13",,,"36412","36412","3117","68369","23"
"230","1758134432.532823000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::8","59121","36412","68369","384188894","23"
"231","1758134432.532838000","10.3.7.72","18.8.23.13",,,"36412","36412","5232",,"12"
"232","1758134432.532839000",,,"2600:300:20e2:a315::1:db85","2600:300:3059:204::b","45481","36412","18188",,"12"
"233","1758134432.532841000",,,"2600:300:3059:204::b","2600:300:20e2:a315::1:db85","36412","45481","1478413","371287425","23"
"234","1758134432.532841000","18.8.23.13","10.3.7.72",,,"36412","36412","5225","1478413","23"
"235","1758134432.545780000","10.3.7.72","18.8.23.13",,,"36412","36412","5225","1478413","23"
"236","1758134432.545780000",,,"2600:300:20e2:a315::1:db85","2600:300:3059:204::b","45481","36412","1478413","371287425","23"
"237","1758134432.546456000",,,"2600:300:3059:204::b","2600:300:20e2:a315::1:db85","36412","45481","18188","372336533","23"
"238","1758134432.993761000","18.8.23.13","10.3.7.72",,,"36412","36412","5232","18188","23"
"239","1758134432.993761000","10.3.7.72","18.8.23.13",,,"36412","36412","5232","18188","23"
"240","1758134432.993762000",,,"2600:300:20e2:a315::1:db85","2600:300:3059:204::b","45481","36412","18188","372336533","23"
"241","1758134434.154483000","10.3.7.43","18.8.23.13",,,"36412","36412","28490",,"12"
"242","1758134434.154489000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::8","59121","36412","1527822",,"12"
"243","1758134434.154491000",,,"2600:300:300a:2::8","2600:300:20e2:a315::1:db85","36412","59121","1527822","377952158","9"
"244","1758134434.154505000","18.8.23.13","10.3.7.43",,,"36412","36412","28490","1527822","9"
"245","1758134434.154508000","10.3.7.43","18.8.23.13",,,"36412","36412","28490","1527822","9"
"246","1758134434.440565000","10.3.7.43","18.8.23.13",,,"36412","36412","28490","1527822","13"
"247","1758134434.440570000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::8","59121","36412","1527822","377952158","9"
"248","1758134434.440570000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::8","59121","36412","1527822","377952158","13"
"249","1758134434.440572000",,,"2600:300:300a:2::8","2600:300:20e2:a315::1:db85","36412","59121","1527822","377952158","11"
"250","1758134434.440573000","18.8.23.13","10.3.7.43",,,"36412","36412","28490","1527822","11"
"251","1758134434.440573000","10.3.7.43","18.8.23.13",,,"36412","36412","28490","1527822","13"
"252","1758134434.440574000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::8","59121","36412","1527822","377952158","13"
"253","1758134434.440595000",,,"2600:300:300a:2::8","2600:300:20e2:a315::1:db85","36412","59121","1527822","377952158","11"
"254","1758134434.440596000","18.8.23.13","10.3.7.43",,,"36412","36412","28490","1527822","11"
"255","1758134436.191756000","10.3.7.72","18.8.23.13",,,"36412","36412","5233",,"12"
"256","1758134436.191756000","7.193.167.162","10.165.94.130",,,"41712","36412","1521421",,"12"
"257","1758134436.191757000","10.165.94.130","7.193.167.162",,,"36412","41712","1521421","2178785766","9"
"258","1758134436.341893000","18.8.23.13","10.3.7.72",,,"36412","36412","5233","1521421","9"
"259","1758134436.341902000","10.3.7.45","18.8.23.13",,,"36412","36412","17086",,"12"
"260","1758134436.341902000","7.193.167.162","10.168.79.2",,,"47327","36412","8466",,"12"
"261","1758134436.434553000","10.3.7.72","18.8.23.13",,,"36412","36412","5233","1521421","9"
"262","1758134436.434554000","7.193.167.162","10.165.94.130",,,"41712","36412","1521421","2178785766","9"
"263","1758134436.476518000","10.3.7.34","18.8.23.13",,,"36412","36412","3407",,"12"
"264","1758134436.476539000","7.193.167.162","10.165.94.130",,,"41712","36412","61971",,"12"
